id_blancas,id_negras,ganador
35,43,1
45,9,0
55,106,0
35,43,1
35,43,1
132,103,0
46,13,1
47,44,1
85,9,0
28,43,1
35,43,1
35,43,1
35,43,1
8,18,1
8,18,1
8,18,0
8,18,0
22,43,0
70,43,1
120,87,0
28,43,0
4,48,0
28,43,1
55,105,1
55,105,0
105,101,0
64,4,1
105,101,0
64,18,1
101,27,1
64,18,1
64,18,1
64,18,1
9,109,1
35,43,1
101,43,1
16,43,1
55,105,1
35,43,1
28,43,0
28,43,1
87,129,1
61,9,1
120,129,1
27,28,1
5,53,1
35,43,1
35,43,1
43,35,0
28,43,1
43,35,0
43,35,1
14,12,1
14,12,1
55,105,0
43,35,0
105,101,1
64,18,0
22,105,1
22,105,1
43,35,0
81,45,0
8,18,1
70,43,1
16,43,1
16,43,1
35,43,1
35,43,1
64,4,1
64,18,1
123,97,1
120,65,0
104,43,1
35,43,1
35,43,1
35,43,1
35,43,1
101,43,1
55,14,1
101,59,1
35,43,1
35,43,0
55,106,1
83,7,1
105,101,1
28,43,1
35,43,0
60,120,0
22,43,1
101,43,1
16,43,1
28,43,1
123,9,1
83,9,0
44,47,1
105,101,1
101,43,1
9,61,0
127,39,1
28,43,0
120,65,1
101,43,1
64,18,1
64,18,1
55,105,1
31,136,1
35,43,1
35,43,1
35,43,0
34,114,0
60,120,1
101,43,1
55,105,0
7,9,0
35,43,0
